```php
id,age,gender,daily_gaming_hours,game_genre,primary_game,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming,prediction_result,confidence,algorithm,created_at,academic_work_performance,loss_of_other_interests
1,20,Female,9,Action,Valorant,pc,2,Poor,Sometimes,False,True,True,4,-2,7,2,0,11,"High Risk",97,"Decision Tree","2026-06-03 15:04:55",Poor,True
2,17,Male,11.1,-,-,-,3.7,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",97.56,DT,"2026-06-03 15:07:01",-,-
3,21,Male,3,-,-,-,7.2,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",96.39,DT,"2026-06-03 15:07:01",-,-
4,23,Male,7.6,-,-,-,4.4,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",91.82,DT,"2026-06-03 15:07:01",-,-
5,20,Female,7.2,-,-,-,5.1,-,-,-,-,-,0,0,4,0,0,0,"Low Risk",97.11,DT,"2026-06-03 15:07:01",-,-
6,18,Male,6.8,-,-,-,3.4,-,-,-,-,-,0,0,4,0,0,0,"High Risk",94.12,DT,"2026-06-03 15:07:01",-,-
7,21,Male,2.1,-,-,-,7.5,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",92.51,DT,"2026-06-03 15:07:01",-,-
8,21,Male,2.7,-,-,-,7.2,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",90.3,DT,"2026-06-03 15:07:01",-,-
9,28,Female,10.3,-,-,-,5.2,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",95.57,DT,"2026-06-03 15:07:01",-,-
10,18,Male,1.4,-,-,-,8.9,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.76,DT,"2026-06-03 15:07:01",-,-
11,18,Male,7.6,-,-,-,3.5,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",96.7,DT,"2026-06-03 15:07:01",-,-
12,16,Male,1.5,-,-,-,8.4,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",91.69,DT,"2026-06-03 15:07:01",-,-
13,14,Male,3,-,-,-,7.2,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.75,DT,"2026-06-03 15:07:01",-,-
14,28,Male,9.5,-,-,-,3.6,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",94.67,DT,"2026-06-03 15:07:01",-,-
15,22,Male,5.1,-,-,-,5.3,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",92.68,DT,"2026-06-03 15:07:01",-,-
16,21,Male,5.8,-,-,-,5.2,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.29,DT,"2026-06-03 15:07:01",-,-
17,25,Male,7.3,-,-,-,5.6,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",97.39,DT,"2026-06-03 15:07:01",-,-
18,19,Male,3,-,-,-,7.4,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",91.28,DT,"2026-06-03 15:07:01",-,-
19,22,Female,11.3,-,-,-,4.6,-,-,-,-,-,0,0,9,0,0,0,"Low Risk",91,DT,"2026-06-03 15:07:01",-,-
20,20,Male,8.4,-,-,-,3.2,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",96.39,DT,"2026-06-03 15:07:01",-,-
21,20,Male,9.4,-,-,-,5.5,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",97.25,DT,"2026-06-03 15:07:01",-,-
22,22,Male,6.5,-,-,-,4.4,-,-,-,-,-,0,0,6,0,0,0,"High Risk",94.06,DT,"2026-06-03 15:07:01",-,-
23,16,Female,6.1,-,-,-,5.3,-,-,-,-,-,0,0,1,0,0,0,"High Risk",95.76,DT,"2026-06-03 15:07:01",-,-
24,14,Female,6.3,-,-,-,6.5,-,-,-,-,-,0,0,4,0,0,0,"High Risk",93.66,DT,"2026-06-03 15:07:01",-,-
25,19,Female,8.9,-,-,-,5.7,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",97.91,DT,"2026-06-03 15:07:01",-,-
26,22,Male,5.2,-,-,-,7,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",96.73,DT,"2026-06-03 15:07:01",-,-
27,22,Male,3.4,-,-,-,8.7,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",96.06,DT,"2026-06-03 15:07:01",-,-
28,18,Male,5.9,-,-,-,6.6,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.57,DT,"2026-06-03 15:07:01",-,-
29,18,Male,8.2,-,-,-,5.4,-,-,-,-,-,0,0,5,0,0,0,"High Risk",94.82,DT,"2026-06-03 15:07:01",-,-
30,21,Male,1.2,-,-,-,7.1,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",90.7,DT,"2026-06-03 15:07:01",-,-
31,19,Female,4.7,-,-,-,5.8,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.84,DT,"2026-06-03 15:07:01",-,-
32,20,Male,1,-,-,-,7.3,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.71,DT,"2026-06-03 15:07:01",-,-
33,17,Male,5.1,-,-,-,6.4,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",92.98,DT,"2026-06-03 15:07:01",-,-
34,20,Male,5.9,-,-,-,6.8,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",94.92,DT,"2026-06-03 15:07:01",-,-
35,20,Male,5.2,-,-,-,5.6,-,-,-,-,-,0,0,5,0,0,0,"Moderate Risk",93.8,DT,"2026-06-03 15:07:01",-,-
36,18,Male,6.6,-,-,-,4.1,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",95.49,DT,"2026-06-03 15:07:01",-,-
37,22,Female,4.6,-,-,-,5.4,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",97.6,DT,"2026-06-03 15:07:01",-,-
38,20,Male,2.8,-,-,-,8.3,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",94.3,DT,"2026-06-03 15:07:01",-,-
39,20,Male,7.6,-,-,-,4.2,-,-,-,-,-,0,0,6,0,0,0,"High Risk",91.86,DT,"2026-06-03 15:07:01",-,-
40,16,Female,2.3,-,-,-,8.4,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",91.47,DT,"2026-06-03 15:07:01",-,-
41,20,Male,4.4,-,-,-,6.4,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",94.86,DT,"2026-06-03 15:07:01",-,-
42,33,Male,3.1,-,-,-,8.4,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",91.33,DT,"2026-06-03 15:07:01",-,-
43,16,Male,8,-,-,-,3.8,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",95.22,DT,"2026-06-03 15:07:01",-,-
44,20,Male,4.2,-,-,-,5.4,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.25,DT,"2026-06-03 15:07:01",-,-
45,20,Male,7.9,-,-,-,3.5,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",91.01,DT,"2026-06-03 15:07:01",-,-
46,14,Female,3.9,-,-,-,5.1,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",95.93,DT,"2026-06-03 15:07:01",-,-
47,26,Female,6.2,-,-,-,5.7,-,-,-,-,-,0,0,3,0,0,0,"High Risk",90.5,DT,"2026-06-03 15:07:01",-,-
48,20,Male,3.4,-,-,-,7.1,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.4,DT,"2026-06-03 15:07:01",-,-
49,29,Female,6.1,-,-,-,6.7,-,-,-,-,-,0,0,2,0,0,0,"High Risk",94.92,DT,"2026-06-03 15:07:01",-,-
50,16,Female,5.9,-,-,-,5.4,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",97.76,DT,"2026-06-03 15:07:01",-,-
51,15,Female,5.1,-,-,-,6.5,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",91.16,DT,"2026-06-03 15:07:01",-,-
52,24,Male,7,-,-,-,4.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",95.28,DT,"2026-06-03 15:07:01",-,-
53,20,Male,3.5,-,-,-,7.8,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",94.31,DT,"2026-06-03 15:07:01",-,-
54,20,Male,11.4,-,-,-,4.3,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",94.02,DT,"2026-06-03 15:07:01",-,-
55,20,Female,0.5,-,-,-,7.2,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.98,DT,"2026-06-03 15:07:01",-,-
56,22,Female,5.8,-,-,-,6.7,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.58,DT,"2026-06-03 15:07:01",-,-
57,19,Male,1.7,-,-,-,8.1,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.58,DT,"2026-06-03 15:07:01",-,-
58,24,Male,6,-,-,-,6.9,-,-,-,-,-,0,0,4,0,0,0,"High Risk",98.67,DT,"2026-06-03 15:07:01",-,-
59,25,Male,7.1,-,-,-,5.2,-,-,-,-,-,0,0,4,0,0,0,"High Risk",98.12,DT,"2026-06-03 15:07:01",-,-
60,23,Male,0.6,-,-,-,7.2,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.27,DT,"2026-06-03 15:07:01",-,-
61,33,Female,7.2,-,-,-,4.2,-,-,-,-,-,0,0,5,0,0,0,"Moderate Risk",96.76,DT,"2026-06-03 15:07:01",-,-
62,22,Female,5.6,-,-,-,5.3,-,-,-,-,-,0,0,3,0,0,0,"High Risk",93.88,DT,"2026-06-03 15:07:01",-,-
63,13,Male,8.9,-,-,-,4.2,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",94.98,DT,"2026-06-03 15:07:01",-,-
64,16,Other,12.4,-,-,-,4.7,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",92.24,DT,"2026-06-03 15:07:01",-,-
65,19,Female,6.6,-,-,-,3.3,-,-,-,-,-,0,0,4,0,0,0,"Low Risk",96.4,DT,"2026-06-03 15:07:01",-,-
66,26,Female,4.9,-,-,-,5.7,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",98.13,DT,"2026-06-03 15:07:01",-,-
67,18,Male,4.4,-,-,-,6.6,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",98.91,DT,"2026-06-03 15:07:01",-,-
