age;gender;daily_gaming_hours;game_genre;primary_game;gaming_platform;sleep_hours;sleep_quality;sleep_disruption_frequency;academic_work_performance;grades_gpa;work_productivity_score;mood_state;mood_swing_frequency;withdrawal_symptoms;loss_of_other_interests;continued_despite_problems;eye_strain;back_neck_pain;weight_change_kg;exercise_hours_weekly;social_isolation_score;face_to_face_social_hours_weekly;monthly_game_spending_usd;years_gaming
17;Male;111;Mobile Games;Clash of Clans;PC;37;Very Poor;Sometimes;Below Average;125;;Anxious;Never;TRUE;FALSE;TRUE;TRUE;FALSE;68;37;7;13;3837;3
21;Male;3;MOBA;Dota 2;PC;72;Fair;Rarely;Good;375;2;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;4;85;2;107;4664;1
23;Male;76;FPS;CS:GO;Multi-platform;44;Fair;Often;Poor;;9;Irritable;Rarely;TRUE;TRUE;TRUE;FALSE;TRUE;18;71;5;32;10081;6
20;Female;72;RPG;Skyrim;Multi-platform;51;Fair;Often;Poor;162;2;Withdrawn;Daily;TRUE;TRUE;FALSE;TRUE;TRUE;2;52;4;91;516;7
18;Male;68;Battle Royale;Apex Legends;PC;34;Poor;Never;Average;244;;Angry;Daily;TRUE;FALSE;FALSE;FALSE;FALSE;5;61;4;45;3257;1
21;Male;21;Mobile Games;Clash of Clans;PC;75;Fair;Rarely;Good;381;4;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;2;108;1;96;863;4
21;Male;27;FPS;Call of Duty;Multi-platform;72;Very Poor;Often;Below Average;182;6;Euphoric;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;8;10;2;101;3525;3
28;Female;103;Mobile Games;Clash of Clans;Console;52;Fair;Sometimes;Poor;;1;Anxious;Rarely;TRUE;TRUE;TRUE;TRUE;TRUE;24;56;6;2;29928;13
18;Male;14;Mobile Games;Genshin Impact;PC;89;Poor;Always;Good;243;;Euphoric;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;1;101;1;129;494;6
18;Male;76;MMO;Final Fantasy XIV;Multi-platform;35;Insomnia;Often;Average;113;;Anxious;Never;TRUE;TRUE;TRUE;TRUE;FALSE;33;45;6;46;1352;6
16;Male;15;FPS;CS:GO;Multi-platform;84;Good;Often;Good;304;;Restless;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;2;101;1;11;2823;4
14;Male;3;Strategy;StarCraft II;PC;72;Good;Sometimes;Excellent;315;;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;3;94;1;139;4636;3
28;Male;95;Mobile Games;Genshin Impact;Mobile;36;Very Poor;Never;Poor;;8;Withdrawn;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;22;51;5;16;48271;7
22;Male;51;RPG;Skyrim;Mobile;53;Fair;Never;Average;325;6;Anxious;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;9;76;3;63;3607;5
21;Male;58;RPG;Elden Ring;Console;52;Good;Often;Good;254;2;Restless;Rarely;FALSE;FALSE;FALSE;FALSE;TRUE;12;82;3;9;10401;2
25;Male;73;Mobile Games;Clash of Clans;Console;56;Poor;Often;Poor;;5;Anxious;Never;TRUE;TRUE;FALSE;TRUE;TRUE;33;69;6;68;6825;7
19;Male;3;Mobile Games;Genshin Impact;Console;74;Fair;Sometimes;Poor;164;3;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;1;67;3;131;163;9
22;Female;113;MOBA;League of Legends;Multi-platform;46;Poor;Sometimes;Poor;189;8;Anxious;Often;TRUE;FALSE;FALSE;TRUE;TRUE;57;49;9;9;7724;10
20;Male;84;FPS;Call of Duty;Mobile;32;Very Poor;Always;Average;276;2;Angry;Sometimes;TRUE;TRUE;TRUE;TRUE;FALSE;4;71;7;81;11879;6
20;Male;94;Battle Royale;Warzone;Console;55;Poor;Sometimes;Below Average;214;7;Anxious;Rarely;TRUE;TRUE;FALSE;FALSE;TRUE;17;48;7;22;12016;1
22;Male;65;RPG;Cyberpunk 2077;Console;44;Poor;Always;Below Average;291;3;Normal;Never;FALSE;TRUE;FALSE;TRUE;FALSE;34;64;6;91;1699;12
16;Female;61;MOBA;League of Legends;Console;53;Fair;Sometimes;Good;112;;Anxious;Often;FALSE;TRUE;FALSE;FALSE;TRUE;18;58;1;93;5352;4
14;Female;63;RPG;Skyrim;Mobile;65;Good;Rarely;Average;327;;Anxious;Never;FALSE;TRUE;FALSE;TRUE;FALSE;2;75;4;48;12654;4
19;Female;89;Battle Royale;PUBG;Console;57;Very Poor;Never;Average;263;8;Irritable;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;19;57;5;52;6637;6
22;Male;52;Mobile Games;Candy Crush;PC;7;Fair;Rarely;Good;194;1;Depressed;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;17;62;2;112;6006;11
22;Male;34;Mobile Games;Candy Crush;Console;87;Good;Always;Average;341;9;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;11;78;3;103;3726;9
18;Male;59;Battle Royale;Apex Legends;Multi-platform;66;Fair;Always;Below Average;391;;Anxious;Often;FALSE;FALSE;FALSE;TRUE;TRUE;9;8;3;68;5547;7
18;Male;82;MMO;Final Fantasy XIV;Mobile;54;Fair;Always;Poor;371;;Anxious;Rarely;FALSE;TRUE;FALSE;TRUE;TRUE;32;65;5;33;5715;8
21;Male;12;MMO;World of Warcraft;Mobile;71;Good;Always;Good;231;9;Depressed;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;2;86;2;167;3491;6
19;Female;47;RPG;Skyrim;Multi-platform;58;Fair;Rarely;Average;162;4;Irritable;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;5;56;3;10;12685;8
20;Male;1;RPG;Cyberpunk 2077;Mobile;73;Good;Sometimes;Average;121;5;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;0;89;1;144;2109;6
17;Male;51;Mobile Games;Clash of Clans;Mobile;64;Poor;Always;Average;302;;Restless;Often;FALSE;FALSE;FALSE;FALSE;FALSE;22;89;2;83;3653;5
20;Male;59;MMO;Final Fantasy XIV;Console;68;Fair;Rarely;Poor;339;6;Anxious;Never;FALSE;FALSE;FALSE;FALSE;TRUE;3;75;3;71;1476;7
